genre,movie_title
Action,"Ride Along"
Action,"Lone Wolf McQuade"
Action,"The Wild Bunch"
Action,"The Man with the Iron Fists"
Action,"Fight Valley"
Action,"Escape from the Planet of the Apes"
Action,"The Running Man"
Action,"Licence to Kill"
Action,"Kick-Ass"
Action,"Hollow Man"
Action,"Nikita            "
Action,"The Powerpuff Girls            "
Action,"Transformers"
Action,"Superman III"
Action,"The Wraith"
Action,"Under Siege 2: Dark Territory"
Action,"The Dukes of Hazzard"
Action,"Green Street 3: Never Back Down"
Action,"Escape from New York"
Action,"Red River"
Action,"Mortal Kombat: Annihilation"
Action,"Thunderbirds"
Action,"Rush Hour            "
Action,"Jimmy Neutron: Boy Genius"
Action,"The Hunted"
Action,"Pootie Tang"
Action,"G-Force"
Action,"Nowhere to Run"
Action,"The Protector"
Action,"Red Sky"
Action,"Underworld: Rise of the Lycans"
Action,"Red Cliff"
Action,"Underclassman"
Action,"Men of War"
Action,"2012"
Action,"The Last of the Mohicans"
Action,"You Only Live Twice"
Action,"Hitman"
Action,"Texas Rangers"
Action,"For Your Eyes Only"
Action,"The Punisher"
Action,"The Black Hole"
Action,"Ghostbusters"
Action,"Ghostbusters"
Action,"Dick Tracy"
Action,"Fight to the Finish"
Action,"The Mask"
Action,"The Warrior's Way"
Action,"Broken Horses"
Action,"Grosse Pointe Blank"
Action,"Skyfall"
Action,"Skyfall"
Action,"The World Is Not Enough"
Action,"Starship Troopers"
Action,"Speed 2: Cruise Control"
Action,"Quantum of Solace"
Action,"The Tuxedo"
Action,"Attack the Block"
Action,"Timecop"
Action,"The Karate Kid"
Action,"The Karate Kid"
Action,"Beastmaster 2: Through the Portal of Time"
Action,"Crossover"
Action,"Warriors of Virtue"
Action,"The Ice Pirates"
Action,"Warlock"
Action,"Chicago Overcoat"
Action,"30 Minutes or Less"
Action,"The Lovers"
Action,"The Lovers"
Action,"Kill Bill: Vol. 2"
Action,"Blackthorn"
Action,"Whiteout"
Action,"Meteor"
Action,"The Time Machine"
Action,"Tracker"
Action,"The Incredibles"
Action,"Octopussy"
Action,"Malone"
Action,"A Sound of Thunder"
Action,"1911"
Action,"Raise the Titanic"
Action,"Breakdown"
Action,"John Carter"
Action,"Live and Let Die"
Action,"On Deadly Ground"
Action,"Half Past Dead"
Action,"Legend of Kung Fu Rabbit"
Action,"Jackass Number Two"
Action,"Highlander"
Action,"Ballistic: Ecks vs. Sever"
Action,"The Young and Prodigious T.S. Spivet"
Action,"Kites"
Action,"The 13th Warrior"
Action,"Ice Age: The Meltdown"
Action,"Hulk"
Action,"Big Momma's House"
Action,"Jackass 3D"
Action,"GoldenEye"
Action,"The Maze Runner"
Action,"Underworld"
Action,"Terminator 3: Rise of the Machines"
Action,"On Her Majesty's Secret Service"
Action,"Congo"
Action,"Light from the Darkroom"
Action,"Diamond Ruff"
Action,"Black Rain"
Action,"Young Guns"
Action,"All the Queen's Men"
Action,"Tae Guk Gi: The Brotherhood of War"
Action,"The Net"
Action,"Species"
Action,"Re-Kill"
Action,"First Knight"
Action,"Miami Vice            "
Action,"The Gunman"
Action,"Born of War"
Action,"Hot Pursuit"
Action,"American Outlaws"
Action,"The A-Team            "
Action,"The Last Stand"
Action,"Shooter"
Action,"The Lost World: Jurassic Park"
Action,"Maximum Risk"
Action,"The Charge of the Light Brigade"
Action,"The Baader Meinhof Complex"
Action,"9"
Action,"Vampire Killers"
Action,"Rapa Nui"
Action,"Into the Grizzly Maze"
Action,"A Nightmare on Elm Street 3: Dream Warriors"
Action,"Cotton Comes to Harlem"
Action,"Dylan Dog: Dead of Night"
Action,"I Spy"
Action,"Miss Congeniality"
Action,"Dante's Peak"
Action,"55 Days at Peking"
Action,"The Longest Day"
Action,"Tora! Tora! Tora!"
Action,"Alien 3"
Action,"The Long Kiss Goodnight"
Action,"Mad Max Beyond Thunderdome"
Action,"The Blood of Heroes"
Action,"The Legend of Hercules"
Action,"Close Range"
Action,"Star Wars: The Clone Wars            "
Action,"The Crocodile Hunter: Collision Course"
Action,"Sicario"
Action,"Amidst the Devil's Wings"
Action,"Johnny English"
Action,"Collateral Damage"
Action,"Sabotage"
Action,"Sabotage"
Action,"From Russia with Love"
Action,"Lethal Weapon 3"
Action,"The Raid: Redemption"
Action,"Total Recall"
Action,"Total Recall"
Action,"The Core"
Action,"Silent Trigger"
Action,"Battle for the Planet of the Apes"
Action,"All About the Benjamins"
Action,"Dr. No"
Action,"Priest"
Action,"Lockout"
Action,"Wild Hogs"
Action,"Jack Ryan: Shadow Recruit"
Action,"The Transporter Refueled"
Action,"Mad Max 2: The Road Warrior"
Action,"Phantasm II"
Action,"Street Fighter: The Legend of Chun-Li"
Action,"Into the Storm"
Action,"Bait"
Action,"Stargate SG-1            "
Action,"Megaforce"
Action,"Knock Off"
Action,"The Sentinel"
Action,"Micmacs"
Action,"Henry V"
Action,"Compadres"
Action,"From a Whisper to a Scream"
Action,"Star Trek Beyond"
Action,"The Spy Who Loved Me"
Action,"Entrapment"
Action,"The Host"
Action,"Antitrust"
Action,"Flight of the Intruder"
Action,"The Peacemaker"
Action,"3 Days to Kill"
Action,"In Her Line of Fire"
Action,"Mercy Streets"
Action,"American Hero"
Action,"Chill Factor"
Action,"Dragonslayer"
Action,"Fantastic Four"
Action,"Fantastic Four"
Action,"Lone Survivor"
Action,"Ice Age: Dawn of the Dinosaurs"
Action,"Teenage Mutant Ninja Turtles III"
Action,"'Ultramarines: A Warhammer 40"
Action,"Hobo with a Shotgun"
Action,"House of Flying Daggers"
Action,"Red Sonja"
Action,"The Fast and the Furious: Tokyo Drift"
Action,"Kangaroo Jack"
Action,"The Living Daylights"
Action,"Master and Commander: The Far Side of the World"
Action,"The Marine 4: Moving Target"
Action,"Goldfinger"
Action,"The French Connection"
Action,"The French Connection"
Action,"The Helix... Loaded"
Action,"Beneath the Planet of the Apes"
Action,"Renaissance"
Action,"The Assassin"
Action,"Bloodsport"
Action,"Thunderball"
Action,"Silverado"
Action,"3 Ninjas Kick Back"
Action,"Excessive Force"
Action,"The Medallion"
Action,"Money Train"
Action,"Rush Hour 3"
Action,"Three Kingdoms: Resurrection of the Dragon"
Action,"Hellboy"
Action,"Class of 1984"
Action,"Diamonds Are Forever"
Action,"Cellular"
Action,"Dragonball: Evolution"
Action,"Pompeii"
Action,"Beverly Hills Cop III"
Action,"The Princess and the Cobbler"
Action,"George and the Dragon"
Action,"Khiladi 786"
Action,"The Matrix Revolutions"
Action,"Bodyguards and Assassins"
